,title,description,originallink,link,pubDate
25,[Y이슈] 민폐의 아이콘 된 '흠뻑쇼'…공연업계 된서리 맞을까,"가수 <b>싸이</b> 씨의 단독 콘서트 &apos;<b>싸이</b> 흠뻑쇼 2022&apos;(이하 흠뻑쇼)를 둘러싼 잡음이 두 달 째 이어지고 있다. 공연장 시설물 훼손, 코로나19 확산 등 다양한 논란을 양산하며 민폐의 아이콘으로 전락했다. 먼저 지난 6일 전남... ",https://star.ytn.co.kr/_sn/0117_202208171023280526,https://n.news.naver.com/mnews/article/052/0001777712?sid=106,"Wed, 17 Aug 2022 10:23:00 +0900"
26,불닭면 인기에 깜짝 실적...삼양 부회장 “BTS 지민 효과”,"김숙진 그룹장은 가수 <b>싸이</b>를 모델로 쓴 적이 있다며 “브랜드 인지도, 1차 구매에 충분히 효과가 있다고... &apos;강남스타일&apos;로 일찍이 빌보드 차트에 이름을 올리고 전 세계에 한국을 알린 <b>싸이</b>가 K-푸드 홍보에도 톡톡히... ",http://news.mk.co.kr/newsRead.php?no=725958&year=2022,https://n.news.naver.com/mnews/article/009/0005005304?sid=101,"Wed, 17 Aug 2022 10:15:00 +0900"
27,탈 많은 싸이 ‘흠뻑쇼’…이번엔 “공연장 인조잔디 폭삭”,"물 낭비 지적부터 노동자 추락사, 코로나19 방역 우려까지 잇단 논란에 휩싸였던 가수 <b>싸이</b>의 ‘흠뻑쇼’ 콘서트가 이번에는 공연장 바닥 훼손으로 지방자치단체의 원상복구 요구를 받았다. 전남 여수시는 <b>싸이</b>... ",https://news.kmib.co.kr/article/view.asp?arcid=0017379868&code=61171811&cp=nv,https://n.news.naver.com/mnews/article/005/0001546947?sid=103,"Wed, 17 Aug 2022 09:42:00 +0900"
28,싸이월드 내달 1일 ‘다이어리’ 서비스 오픈… 글 11억건 복원," <b>싸이</b>월드가 내달 1일 다이어리 기능을 오픈하고, 과거 적었던 다이어리 글 11억건을 복원해 각자에게 공개한다. 16일 <b>싸이</b>월드에 따르면, 복원된 다이어리는 ‘추억’이라는 타이틀로 기존 유저가 가지고 있던... ",https://hobbyen.co.kr/news/newsview.php?ncode=1065597654016766,https://hobbyen.co.kr/news/newsview.php?ncode=1065597654016766,"Wed, 17 Aug 2022 09:40:00 +0900"
29,"NBN TV, 디지털자산 전문가 ‘자문위원단 위촉’","이밖에 업계에서는 △강성후 KDA 회장 △김동환 블리츠랩스 이사 △김태훈 ㈜<b>싸이</b>월드제트 대표이사 △이해붕 업비트 투자자보호센터장 △서병윤 빗썸 경제연구소장을, 언론계에서는 △이상훈 한국정경신문 IT과학부... ",http://www.mediapen.com/news/view/747010,http://www.mediapen.com/news/view/747010,"Wed, 17 Aug 2022 09:34:00 +0900"
30,"NBN TV, 디지털자산 전문가들과 '자문위원단 위촉식' 진행","이사 △김태훈 <b>싸이</b>월드제트 대표이사 △이해붕 업비트 투자자보호센터장 △서병윤 빗썸 경제연구소장, 언론계에서는 △이상훈 한국정경신문 IT과학부 부장 △이수호 테크엠 부사장이 자문위원으로... ",http://www.m-i.kr/news/articleView.html?idxno=942887,http://www.m-i.kr/news/articleView.html?idxno=942887,"Wed, 17 Aug 2022 09:32:00 +0900"
31,"[뉴스딱] 싸이 흠뻑쇼 또 시끌…""공연 후 인조잔디 폭삭, 복구하라""","<b>싸이</b> 씨의 콘서트가 꾸준히 논란에 휩<b>싸이</b>고 있는데, 이번에는 시설물 훼손 논란입니다. 전남 여수시는 <b>싸이</b> 콘서트 주관업체 측에 최근 공연장 시설물 훼손에 따른 원상복구 공문을 보냈다고 밝혔습니다. 해당 공연은... ",https://news.sbs.co.kr/news/endPage.do?news_id=N1006862555&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0000993352?sid=102,"Wed, 17 Aug 2022 09:16:00 +0900"
32,美 음악시장에 녹아들다…빌보드 장악한 K팝,<b>싸이</b> &apos;강남스타일&apos;이 K팝의 존재를 알렸다면 방탄소년단은 서구권에 제대로 된 소통창구(팬덤)를 만들면서 진출 도로를 깔았다. 이를 바탕으로 4세대 아이돌까지 최대 음악 전문 매체 빌보드를 차례로 점령해... ,http://www.newspim.com/news/view/20220816000788,http://www.newspim.com/news/view/20220816000788,"Wed, 17 Aug 2022 08:51:00 +0900"
33,"'싸이 흠뻑쇼' 공연장 훼손…여수시, 원상복구 요구",여수에서 열린 가수 <b>싸이</b>의 &apos;흠뻑쇼&apos; 공연으로 일부 시설물이 훼손돼 여수시가 주관업체에 원상복구를... 지난 6일 여수진남경기장에서 열린 &apos;<b>싸이</b> 흠뻑쇼&apos;에는 관람객 3만여명이 몰리면서 주변에 큰 교통혼잡이 이어졌고... ,http://www.ikbc.co.kr/article/view/kbc202208170016,https://n.news.naver.com/mnews/article/660/0000015068?sid=102,"Wed, 17 Aug 2022 08:38:00 +0900"
34,"김정수 부회장 “BTS 지민, 불닭면 즐겨먹어 광고효과 톡톡” (식자회담)[결정...","제일제당 김숙진 그룹장은 “<b>싸이</b>를 모델로 쓴 적이 있다. 브랜드 인지도, 1차 구매에 충분히 효과가 있다고 생각한다. 반복 구매가 일어나기 위해서는 제품력이 받쳐줘야 시장이 커지고 브랜드에 대한 로열티가... ",https://www.newsen.com/news_view.php?uid=202208170615341710,https://n.news.naver.com/mnews/article/609/0000616063?sid=106,"Wed, 17 Aug 2022 06:17:00 +0900"
35,"아이유·임영웅→BTS, '공연의 神'들의 신기록 행진[SS연예프리즘]",지금까지 잠실올림픽주경기장에서 공연을 한 가수는 1999년 H.O.T를 시작으로 god·조용필·신화·이승환·이승철·JYJ·이문세·서태지·엑소·방탄소년단·<b>싸이</b>가 있다. NCT DREAM은 지난달 29일∼31일 서울 고척스카이돔에서... ,http://www.sportsseoul.com/news/read/1151152?ref=naver,https://n.news.naver.com/mnews/article/468/0000874191?sid=106,"Wed, 17 Aug 2022 06:01:00 +0900"
36,"싸이 '흠뻑쇼' 지나간 후 인조잔디 '폭삭'… 여수시, 원상복구 요구",열흘 전 전라남도 여수에서 열린 가수 <b>싸이</b>의 &apos;흠뻑쇼&apos; 공연 이후 공연장 내 일부 시설물이 훼손돼 여수시가 주관 업체 측에 원상복구를 요구했다. 여수시는 <b>싸이</b> &apos;흠뻑쇼&apos; 공연 주관 업체인 &apos;공연마루&apos;에 최근 공연장... ,http://www.fnnews.com/news/202208162217202458,https://n.news.naver.com/mnews/article/014/0004884059?sid=102,"Wed, 17 Aug 2022 04:06:00 +0900"
37,"""싸이 '흠뻑쇼'에 인조잔디 폭삭""…여수시, 원상복구 요구",전남 여수시가 가수 <b>싸이</b>의 ‘흠뻑쇼’ 공연 이후 공연장 내 일부 시설물이 훼손됐다며 주관 업체 측에 원상복구를 요구했다. 3일 오후 서울 송파구 잠실종합운동장 보조경기장에서 열린 ‘<b>싸이</b> 흠뻑쇼 서머 스웨그 2018’... ,http://www.edaily.co.kr/news/newspath.asp?newsid=05477606632427976,https://n.news.naver.com/mnews/article/018/0005293685?sid=102,"Tue, 16 Aug 2022 21:16:00 +0900"
38,77명 확진 '싸이 흠뻑쇼’…공연장 인조 잔디 '폭삭' 논란,여수시가 가수 <b>싸이</b>의 ‘흠뻑쇼’ 공연 이후 공연장 내 일부 시설물이 훼손됐다며 주관 업체 측에 원상복구를 요청했다. 여수시는 16일 <b>싸이</b> ‘흠뻑쇼’ 공연 주관 업체인 ‘공연마루’에 최근 공연장 시설물 훼손에 따른... ,https://www.sedaily.com/NewsView/269TKTCXZI,https://n.news.naver.com/mnews/article/011/0004088206?sid=102,"Tue, 16 Aug 2022 21:14:00 +0900"
39,[여기는 전남] ‘콘서트 뒤 훼손’ 진남경기장 내일 현장조사 외,"가수 <b>싸이</b>의 콘서트 이후 바닥이 훼손된 여수 진남종합운동장 시설 원상 복구를 위한 사전 현장 조사가 진행됩니다. 현장 조사에는 지난 6일 콘서트를 주관한 업체 측과 여수시, 공사 전문가가 참여해 탄성바닥재와... ",https://news.kbs.co.kr/news/view.do?ncd=5534195&amp;ref=A,https://n.news.naver.com/mnews/article/056/0011321750?sid=102,"Tue, 16 Aug 2022 19:30:00 +0900"
40,"싸이 '흠뻑쇼' 끝나자 인조잔디 폭삭…여수시, 원상복구 요구",전남 여수에서 가수 <b>싸이</b>의 &apos;흠뻑쇼&apos; 공연이 열린 이후 인조잔디가 가라앉는 등 일부 시설물이 훼손된 것으로 나타난 가운데 여수시가 원상복구를 요구했다. 16일 여수시는 <b>싸이</b> &apos;흠뻑쇼&apos; 공연 주관 업체인 &apos;공연마루&apos;에... ,https://www.dailian.co.kr/news/view/1143177/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002630731?sid=102,"Tue, 16 Aug 2022 18:48:00 +0900"
41,"여수시, '싸이 흠뻑쇼'로 훼손된 바닥재·인조잔디 복구 요청",지난달 17일 오후 서울 송파구 잠실동 잠실종합운동장에서 가수 <b>싸이</b>의 콘서트 &apos;흠뻑쇼 2022&apos;가 진행되고 있다. [연합뉴스]  전남 여수시가 가수 <b>싸이</b>의 콘서트로 인해 시설물이 훼손됐다며 원상복구를 요청했다. 16일... ,https://www.ziksir.com/news/articleView.html?idxno=29140,https://www.ziksir.com/news/articleView.html?idxno=29140,"Tue, 16 Aug 2022 18:04:00 +0900"
42,"대형 햄버거 프랜차이즈, 올해만 두번째 가격 인상…'버거플레이션' 현실화",2월 가격 인상 당시 대표 메뉴인 <b>싸이</b>버거를 비롯한 버거류를 포함해 총 37종 제품의 가격을 올렸으며... 지난 2월 가격 인상 전까지 3800원이었던 <b>싸이</b>버거는 4100원으로 오른 후 이달 초부터 4300원에 판매된다.... ,http://www.opinionnews.co.kr/news/articleView.html?idxno=71980,http://www.opinionnews.co.kr/news/articleView.html?idxno=71980,"Tue, 16 Aug 2022 18:00:00 +0900"
43,"싸이 '흠뻑쇼' 연이은 불협화음…여수시 ""인조잔디 원상복구 하라""",전남 여수시가 <b>싸이</b>의 &apos;흠뻑쇼&apos; 공연 이후 공연장 내 일부 시설물이 훼손된 것에 대해 주관 업체 측에... 앞서 시는 <b>싸이</b> &apos;흠뻑쇼&apos; 공연에 몰릴 인파에 대비해 3만 명이 운집할 것으로 예상하고 종합 안전대책을 마련하고... ,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00012&news_seq_no=4824801,https://n.news.naver.com/mnews/article/057/0001683891?sid=106,"Tue, 16 Aug 2022 17:59:00 +0900"
44,11억건의 싸이월드 다이어리 복구된다...다음달 1일 공개,▲ 사진=<b>싸이</b>월드 공식 홈페이지 캡쳐 16일 <b>싸이</b>월드가 다음 달 1일 ‘다이어리’ 기능을 재개한다고 밝혔다. 과거 이용자들이 다이어리에 남긴 11억건의 글이 모두 복원될 예정이다. <b>싸이</b>월드는 지난해 에프엑스기어와... ,https://www.thedrive.co.kr/news/newsview.php?ncode=1065602585168640,https://www.thedrive.co.kr/news/newsview.php?ncode=1065602585168640,"Tue, 16 Aug 2022 17:54:00 +0900"
45,싸이 흠뻑쇼 후 인조잔디 폭삭…여수시 원상복구 요구,여수시가 가수 <b>싸이</b>의 ‘흠뻑쇼’ 공연 후 공연장 시설물이 일부 훼손됐다며 주관 업체 측에 원상복구를 요구했다. 16일 여수시는 <b>싸이</b> ‘흠뻑쇼’ 공연 주관 업체인 ‘공연마루’에 최근 공연장 시설물 훼손에 따른... ,https://www.chosun.com/national/national_general/2022/08/16/XRNT3TRJMFFFDFJLCWV22XIWHY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003710238?sid=102,"Tue, 16 Aug 2022 17:53:00 +0900"
46,[김진영의 사진집 이야기 티안 돈 나 참파삭의 ‘팝 댄스의 아버지(The Fathe...,"사진 김진영 인스타그램과 페이스북이 있기 전, 그보다 더 거슬러 올라가 <b>싸이</b>월드가 있기 전 우리에게는 사진 앨범이 있었다. 집집마다 보관하는 사진 앨범에는 사적인 기록이 담겨 있다. 불특정 다수의 사람이 볼 수... ",http://economychosun.com/client/news/view.php?boardName=C26&t_num=13613265,http://economychosun.com/client/news/view.php?boardName=C26&t_num=13613265,"Tue, 16 Aug 2022 17:52:00 +0900"
47,“축제 갔다 감염” 사례 줄줄이…당국 “9월까지 현장점검”,지난달 15일 서울 송파구 잠실올림픽주경기장에서 가수 <b>싸이</b> 콘서트 ‘흠뻑쇼’를 관람하기 위해 관객들이... ‘<b>싸이</b> 흠뻑쇼 SUMMER SWAG 2022’(이하 <b>싸이</b> 흠뻑쇼)는 지난 13~14일 대구 수성구 대흥동 대구스타디움... ,http://www.kukinews.com/newsView/kuk202208160137,http://www.kukinews.com/newsView/kuk202208160137,"Tue, 16 Aug 2022 17:50:00 +0900"
48,'핫' 그 자체! 리한나의 여름 부츠 패션,"8월의 여름밤, 리한나가 허벅지까지 따뜻하게 감싸는 <b>싸이</b>하이 부츠를 신었습니다. Splash News 리한나만큼... 그런 그녀가 이번엔 허벅지까지 오는 <b>싸이</b>하이 부츠를 신고 맨해튼 거리를 활보했습니다. 이 부츠는 와이... ",https://www.vogue.co.kr/2022/08/16/%ed%95%ab-%ea%b7%b8-%ec%9e%90%ec%b2%b4-%eb%a6%ac%ed%95%9c%eb%82%98%ec%9d%98-%ec%97%ac%eb%a6%84-%eb%b6%80%ec%b8%a0-%ed%8c%a8%ec%85%98/?utm_source=naver&utm_medium=partnership,https://www.vogue.co.kr/2022/08/16/%ed%95%ab-%ea%b7%b8-%ec%9e%90%ec%b2%b4-%eb%a6%ac%ed%95%9c%eb%82%98%ec%9d%98-%ec%97%ac%eb%a6%84-%eb%b6%80%ec%b8%a0-%ed%8c%a8%ec%85%98/?utm_source=naver&utm_medium=partnership,"Tue, 16 Aug 2022 17:50:00 +0900"
49,"싸이맥스, 2Q 영업이익 61억원.. PER 11.7배","<b>싸이</b>맥스는 16일 반기보고서를 통해 2분기 매출액 491억원(전년비 -31.4%), 영업이익 61억원(-34.6%), 순이익 24억원(-71.8%)을 각각 기록했다고 공시했다. 가치투자 포털 아이투자는 반기보고서를 바탕으로 올해 2분기... ",http://www.itooza.com/common/iview.php?no=2022081615283238293,http://www.itooza.com/common/iview.php?no=2022081615283238293,"Tue, 16 Aug 2022 17:32:00 +0900"
50,"싸이 ‘흠뻑쇼’, 잊을 만 하면 또다시 논란...이번엔 시설물 훼손 문제 [안하...",가수 <b>싸이</b>의 공연 ‘흠뻑쇼’를 향한 잡음이 끊이지 않고 있다. 16일 여수시와 KBS 등에 따르면 여수시는 지난... <b>싸이</b>는 과거 한 방송에 출연해 공연에 사용되는 물은 모두 식수이며 1회당 300톤의 물을 사용한다고 밝힌 바... ,http://star.mbn.co.kr/view.php?year=2022&no=724428&refer=portal,https://n.news.naver.com/mnews/article/057/0001683873?sid=106,"Tue, 16 Aug 2022 17:24:00 +0900"
51,"싸이 ‘흠뻑쇼’ 또 시끌…여수시 “인조잔디 70% 훼손, 원상복구 하라”","<b>싸이</b> ‘흠뻑쇼’가 이번엔 시설물 훼손 논란에 휩싸였다. 지난 6일 전남 여수시에서 <b>싸이</b> &apos;흠뻑쇼&apos;가 열린 가운데, 여수시가 당시 공연을 주관한 공연업체 ‘공연마루’에 시설물 훼손에 따른 원상복구를 요구하는 공문을... ",http://star.mk.co.kr/new/view.php?mc=ST&year=2022&no=724409,https://n.news.naver.com/mnews/article/009/0005005068?sid=102,"Tue, 16 Aug 2022 17:22:00 +0900"
52,"김민재 데뷔전, 감독도 데이터도 인정…수비·공격 다 잡은 ‘무결점’",지난달 27일 나폴리에 입단한 김민재는 입단 신고식 때 동료들 앞에서 ‘강남 스타일’(<b>싸이</b>) 말춤을 추는 등 팀에 빠르게 스며들기 위해 노력하고 있다. 첫 경기부터 ‘김민재 스타일’을 확실히 선보인 그가 어디까지... ,https://www.hani.co.kr/arti/sports/soccer/1054944.html,https://sports.news.naver.com/news.nhn?oid=028&aid=0002602580,"Tue, 16 Aug 2022 17:21:00 +0900"
53,"싸이 '흠뻑쇼' 이후 인조잔디 '폭삭'…여수시 ""원상복구 요청""",전남 여수에서 열린 가수 <b>싸이</b> &apos;흠뻑쇼&apos; 공연 이후 공연장 일부 시설에 훼손돼 여수시가 주관 업체 측에 원상복구를 요구했다. 16일 여수시에 따르면 시는 최근 공연 주관 업체 측에 공연장 시설물 훼손에 따른 원상복구... ,http://www.inews24.com/view/1510768,https://n.news.naver.com/mnews/article/031/0000692045?sid=102,"Tue, 16 Aug 2022 17:18:00 +0900"
54,"코로나 확진자 무더기로 나온 싸이 흠뻑쇼, 이번엔 공연장 문제 터졌다",전라남도 여수서 열린 가수 <b>싸이</b>의 콘서트 &apos;흠뻑쇼&apos; 공연 후 공연장 내 일부 시설물이 훼손돼 여수시가... <b>싸이</b>의 흠뻑쇼는 공연장에서 물이 나와 관객과 가수가 흠뻑 젖은 상태로 즐기는 콘셉트의 콘서트다. 콘서트는... ,https://www.wikitree.co.kr/articles/780768,https://www.wikitree.co.kr/articles/780768,"Tue, 16 Aug 2022 17:12:00 +0900"
55,"싸이 '흠뻑쇼', 시설물 훼손 논란…여수시 ""원상복구 하라""",여수시는 16일 <b>싸이</b> &apos;흠뻑쇼&apos; 공연 주관 업체인 &apos;공연 마루&apos;에 공연장 시설물 훼손에 따른 원상 복구 공문을 보냈다. 지난달 15일 서울 송파구 잠실 올림픽주경기장에서 <b>싸이</b>의 &apos;흠뻑쇼&apos;를 찾은 관객들이 입장을 기다리고... ,http://www.joynews24.com/view/1510761,http://www.joynews24.com/view/1510761,"Tue, 16 Aug 2022 17:08:00 +0900"
56,"인턴노트 저자 박성우 원장 “MZ세대 의대생?전공의 후배들, ‘의학 오타쿠’...",<b>싸이</b>월드 시대엔 미니홈피에 글을 썼고 블로그 세대로 넘어 오면서 블로그에 인턴 때 경험과 생각들을 글로 남겼다. 인생에 한 번뿐인 경험과 감정들이니 놓치고 싶지 않다는 생각이었다. 모든지 처음엔 심하게 떨고... ,http://www.medigatenews.com/news/3030710694,http://www.medigatenews.com/news/3030710694,"Tue, 16 Aug 2022 17:04:00 +0900"
57,[DD 퇴근길] 싸이월드 다이어리 부활…그때 뭐했지?,사진첩과 더불어 <b>싸이</b>월드를 대표하는 기능 중 하나인 다이어리가 다음달 1일부터 부활합니다. <b>싸이</b>월드는 지난해 에프엑스기어와 11억개에 달하는 다이어리를 복원하는 데 성공하고 새로운 <b>싸이</b>월드 앱에 최적화한... ,https://www.ddaily.co.kr/news/article.html?no=244616,https://n.news.naver.com/mnews/article/138/0002130796?sid=105,"Tue, 16 Aug 2022 17:03:00 +0900"
58,"싸이 '흠뻑쇼', 이번엔 공연장 시설물 훼손 논란…여수시 ""원상복구하라""",전남 여수시가 가수 <b>싸이</b>의 &apos;흠뻑쇼&apos; 이후 훼손된 공연장을 원상 복구할 것을 주관 업체 측에 요구했다. 16일 여수시는 <b>싸이</b> &apos;흠뻑쇼&apos; 공연 주관 업체인 &apos;공연 마루&apos;에 공연장 시설물 훼손에 따른 원상 복구 공문을 보냈다.... ,https://www.spotvnews.co.kr/news/articleView.html?idxno=543169,https://n.news.naver.com/mnews/article/477/0000376582?sid=106,"Tue, 16 Aug 2022 17:00:00 +0900"
59,[퇴근길이슈] '공조2' 현빈·빌리아일리시 태극기·김연아 화보·흠뻑쇼 잔디,"◆ <b>싸이</b> &apos;흠뻑쇼&apos;, 인조잔디 폭삭…&quot;공연장 시설물 원상복구 하라&quot; <b>싸이</b> &apos;흠뻑쇼&apos; 포스터 [사진=피네이션] 전남 여수에서 열린 가수 <b>싸이</b>의 &apos;흠뻑쇼&apos; 공연 이후 공연장 내 일부 시설물이 훼손돼 여수시가 주관 업체 측에... ",http://www.joynews24.com/view/1510748,http://www.joynews24.com/view/1510748,"Tue, 16 Aug 2022 16:58:00 +0900"
60,"싸이 '흠뻑쇼' 이번엔 시설물 훼손 논란…여수시 ""원상복구 하라""",전남 여수에서 개최된 가수 <b>싸이</b> 씨의 단독 콘서트 &apos;흠뻑쇼&apos; 공연 이후 공연장 내 일부 시설물이 훼손되는 일이 발생했다. 16일 여수시는 &apos;흠뻑쇼&apos; 공연 주관 업체 측에 최근 공연장 시설물 훼손에 따른 원상복구 공문을... ,https://star.ytn.co.kr/_sn/0117_202208161656565369,https://n.news.naver.com/mnews/article/052/0001777443?sid=106,"Tue, 16 Aug 2022 16:56:00 +0900"
61,"싸이 '흠뻑쇼' 공연장 시설물 훼손…여수시, 원상복구 요구",가수 <b>싸이</b> &apos;흠뻑쇼&apos; 공연 현장. /▲ 사진=여수시 여수시가 가수 <b>싸이</b>의 ‘흠뻑쇼’ 공연 이후 공연장 내 일부 시설물이 훼손된 사실을 확인하고 주관 업체 측에 원상복구를 요구했다. 16일 여수시는 <b>싸이</b> ‘흠뻑쇼’ 공연... ,https://www.thedrive.co.kr/news/newsview.php?ncode=1065599316619825,https://www.thedrive.co.kr/news/newsview.php?ncode=1065599316619825,"Tue, 16 Aug 2022 16:54:00 +0900"
62,싸이 ‘흠뻑쇼’ 또 잡음…여수시 “훼손된 시설물 원상복구 하라”,전남 여수시가 <b>싸이</b>의 ‘흠뻑쇼’ 주관 업체에 공연장 시설물을 원상복구할 것을 요구했다. 16일 여수시에 따르면 <b>싸이</b> ‘흠뻑쇼’ 공연 주관 업체인 공연마루에 최근 공연장 시설물 훼손에 따른 원상복구 공문을 보냈다.... ,http://mksports.co.kr/view/2022/724261/,https://n.news.naver.com/mnews/article/410/0000888162?sid=106,"Tue, 16 Aug 2022 16:48:00 +0900"
63,"""주민들에게 외쳐주세요""…싸이, '강릉 흠뻑쇼' 소음 민원→대처 멘트 논란","<b>싸이</b>의 2022 강릉 흠뻑쇼가 마무리된 가운데, 공연에서의 멘트가 뒤늦게 조명을 받고 있다. 지난달 30일 강원 강릉종합운동장에서는 &apos;2022 흠뻑쇼&apos;가 진행됐다. 이날 앵콜을 이어가던 <b>싸이</b>는 &quot;락 메들리 6곡에 앞서서... ",http://www.topstarnews.net/news/articleView.html?idxno=14721419,http://www.topstarnews.net/news/articleView.html?idxno=14721419,"Tue, 16 Aug 2022 16:26:00 +0900"
